BJD - 2454833, Corrected Flux
2250.641979741, 1.046941343,
2250.662411644, 1.021064518,
2250.682843347, 1.022602605,
2250.703275150, 1.021575962,
2250.723707052, 1.019333924,
2250.744138754, 1.023091507,
2250.764570556, 1.010227482,
2250.785002458, 1.036738874,
2250.805434159, 1.001906902,
2250.825865959, 1.009394265,
2250.846297860, 1.038444524,
2250.866729660, 1.036560785,
2250.887161359, 1.010762824,
2250.907593259, 1.002680019,
2250.928025058, 1.019251718,
2250.948456757, 1.018525561,
2250.968888655, 1.027327636,
2250.989320453, 1.009350111,
2251.009752151, 1.000007342,
2251.030184048, 1.025728140,
2251.071047542, 1.046141614,
2251.091479438, 1.046996493,
2251.111911234, 1.040169047,
